,tweet,language,topic_name,sub_topic
62,I got bullied by this one teacher for being an autistic watching kids shows like Boohbah in high school which forced her to retire yet she's STILL allowed to teach and tutor autistic people! Not to mention she's on the C-Hope board because she's good friends...,en,Films and OTT,StarKids
63,Wildlife Sanctaury in Gujarat - Gir national Park - see this link-  http://j.mp/8wmLJ1 ♫  http://blip.fm/~jq0db,en,Wildlife and Vegetation,Gir National Park
64,"paalguava, kaju katli and so many milk related sweets",et,FOOD,Indian desserts
65,"Twins from IIT-Delhi crack CAT 2018, share success story | #Education #News, The Indians Express Gladness. #CAT2018 #Twins #Delhi #India #Success #IIT #IITDelhi https://t.co/k3FeBKid92",en,Journalism & Media,Print Media & TV
66,سبحانك اللهم وبحمدك أشهد أن لا إله إلا أنت أستغفرك وأتوب إليك.,ar,Manufacturing,Make in India
67,@Kasi_pkl 😍😍😍,und,Sports,Pro Kabaddi League (PKL)
68,Central body approves Rs 400 crore for Ganga rejuvenation projects   https://t.co/ritpQKSm1W  via NMApp  https://t.co/jC1DOGm7Bp,en,Wildlife and Vegetation,River Rejuvenation
69,@CricCrazyAlok Ravindra jadeja  Lmao 😳😳😳. I typed right and fast bc,en,Sports,Olympics
70,"After #Koo, another Indian startup gets its #Chinese investors Shunwei &amp; #Xiaomi to exit.   Which startup is it? Well, the founder will be live on #StartUpCentral at 6:30 pm, so find out then!   #AatmaNirbharBharat #India  https://t.co/5Hukorkg0Z",en,Economics and Retail,Unicorns
71,The irony of @Conserve_CA's campaign to get public funds appropriated to its special project of forest restoration after six decades of gouging the eyes of the forest products industry to be allowed to scientifically manage timberlands does not escape this observer.,en,Wildlife and Vegetation,Restoration
72,"@ishehnaaz_gill after bb ✰MSK ✰MVs- BD, KGS, KP, WH,SS, FLY ✰Moj app brand ambassador ✰ #5MIGPostsForShehnaaz ✰Mirchi performance ✰Shandar Ravivar  ✰Won Gold awards ✰Promoted multiples brands  ✰BB14 ✰+ Interviews ✰21+ millions trends ✰Chandigarh most desirable woman",en,Films and OTT,mirchi_awards
73,"FC Goa fans, stay awake for an update at midnight.  #Indianfootball #ISL",en,Sports,Indian Super League (ISL)
74," http://bit.ly/go7puk Goa Tourism Packages is an excellent in India which offer beach tour, wildlife tour, festivals tour, honeymoon tour",en,Wildlife and Vegetation,Wildlife Tourism and Heritage
75,@PrimeVideoIN திருமலை,ta,Films and OTT,"OTT platforms such as Netflix, Amazon Prime Video, etc"
76,Corbett National Park Nanital #landscape #photo #image #photography #nature #travel #art #beinspired #sky #sunrise…  https://t.co/0TdMutjhKu,da,Wildlife and Vegetation,Corbett National Park
77,"Ministry of Environment, Forest : Suspend Mridul Pathak Director of Bandhavgarh National Park - Sign ...  https://t.co/AmLPmiWKOj via @Change",en,Wildlife and Vegetation,Bandhavgarh National Park
78,बेकार गया मोदीजी का बांगलादेश की आझादी के लिये जेल जाना...😂 #BengalElection2021,hi,Politics,"West Bengal Elections, 2021"
79,"""It's not nepotism unless it's from the Nepotisse region of France. Otherwise it's just honest hard work"".",en,Films and OTT,Nepotism in Film Industry
80,উত্তরবঙ্গের ৮ জেলার মোট ৫৪টি আসনের মধ্যে ২১টি আসন দখলের পথে তৃণমূল। #NorthBengal #BengalElection2021 #ElectionResult #NeelBarirLorai   https://t.co/tTgmNTXOwR,bn,Politics,"West Bengal Elections, 2021"
81,#Cancelboardexam Mere dil ko ab b lgta papr cancel ho jayen ge Dil e nadan tuje hwa kya akir is yaqeen ki wja kya ha???🤔🤔🤔,in,R&D and Technology,Health-Tech and Medical Innovations
82,"En hommage à Neeraj Chopra, le 7 août devient la ""Journée du lancer de javelot"" en Inde #rtbfsport  https://t.co/FIqMUcnbI9",fr,Sports,Olympics
83,"bnr bngt. Pas maba bngga bngt pake almet yujiem. Sem 3 bangga pke korsa himpunan. Sem 5 bangga bisa jd bendahara dan staff inventaris. Sem 6 bangga abis sidang pkl. Otw sem 7,smg mkin lancar",in,Sports,Pro Kabaddi League (PKL)
84,"Znas li sta si uradio?! Ta zmija kosta 2 hiljade eura! A on, ni pet ni sest, boli mene krasni kurac za 2 hiljade eura, sipaj mi rakiju da dodjem sebi! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",und,Economics and Retail,SEBI and New margin rules
85,"AcTouch Technologies launches 100% Free GST Software for Start up’s, entrepreneurs &amp; SME’s.  #GST #Software #Business.  https://t.co/UVku92ycDd",en,Journalism & Media,Social Movements and News
86,Amazon Prime’s ‘Tandav’: India’s Dumbest Political Drama Till Date   @tushjain15   https://t.co/MTcoMdRYsp,en,Films and OTT,OTTCensorship
87,Football: @OdishaFC have signed Spanish winger Aridai Cabrera for the upcoming Indian Super League season.  https://t.co/WRrArYZZpT,en,Sports,Indian Super League (ISL)
88,Listing day close taken out at close.   Will the 60% of voters be correct a year from now?  #Zomato,en,Economics and Retail,Initial Public Offering (IPO)
89,"Well Done by Prime Minister @narendramodi  ji &amp; team @AmitShah ji, @rajnathsingh ji :-  #GST  #TripleTalaqBill  #Article370  Next :- #RamMandir #populationcontrollaw  #Naxalism  #POK  #ChinaIndiaBorder  #JaiHind #JaiBharat  #BharatMataKiJai",en,Journalism & Media,Social Movements and News
90,@BangtanINDIA Thoughts and prayers with everyone in Mizoram ! Hope you all stay safe ! 💜💜 #PrayforMizoram,en,Journalism & Media,Policy and Trends
91,Technical Leader - cloud computing and virtualization platforms. Opportunity in India   https://t.co/qmZJon97BM  #space #spacecareers #spacejobs #careersinspace #aerospace #engineeringjobs,en,R&D and Technology,ISRO
92,Tell @kfc_colonel and CEO David Novak to end their relationship with rainforest destruction #nogood #savetigers  https://t.co/Wj9iQFkD,en,Wildlife and Vegetation,Save Tiger Project
93,"#SaveTigers  மனிதர்களின் கட்டற்ற அதீத நுகர்வாலும், வளர்ச்சி எனும் பெயரில் மேற்கொள்ளப்படும் பெரும் வளச்சுரண்டலாலும் பல்லுயிர்ச்சூழலும், சுற்றுச்சூழல் மண்டலமும் இன்று பேரழிவை நோக்கிச்சென்று கொண்டிருக்கிறது.  - சீமான்   https://t.co/GUhtMyUvdJ  #Seeman | #Ecosystem  https://t.co/e9fJyIWMhj",ta,Wildlife and Vegetation,Save Tiger Project
94,"An estimated 13.8 crore people, that is 49% of the population, aged 60 years and above have been vaccinated with the first dose of COVID-19 vaccine. #COVAXIN #COVID19 #CovidVaccine  https://t.co/baP7MYGoEM",en,R&D and Technology,Health-Tech and Medical Innovations
95,#AccheDinAahGaye My latest blog post on the 'free' books I got at Hyderabad Book Fair  https://t.co/XavjldQdjH,en,Art and Literature,Book Fairs
96,The key to a greener planet is in your hands! ☘️ #greenplanet #green #greenday #plants #planetearth #tree #plantation #greenearth #nature #gogreen #ecofriendly #green #sustainability #zerowaste #earth #environment #naturelovers #ecology #climatechange #natural #anocom #india  https://t.co/X0IAsxkdsW,en,ENVIRONMENT,Eco Friendly
97,THE FLOOD SITUATION IN INDIA  https://t.co/reXW9Kx3Co,en,Natural Disaster,Flood
98,@PrimeVideoIN फिल्मों से नही सत्संग से उद्धार संभव है। यदि सत्संग के विचार सुनने को मिल जाएं तो घर स्वर्ग जैसा बन जाता है। सत्संग के बिना नरक जैसा जीवन जीना पड़ता है। सत्संग से ही विश्व उद्धार संभव है।,hi,Films and OTT,"OTT platforms such as Netflix, Amazon Prime Video, etc"
99,"#ISTANBUL The death toll from severe floods and mudslides along Turkey’s Black Sea coast has climbed to at least 51, the country’s emergency and disaster agency said Saturday  #AFAD #CNNTurk #istanbul #ramazandemirtas #Twitter   https://t.co/UAy7CKL9rR  https://t.co/CX1xGNuf40",en,Natural Disaster,Flood
100,So The Family man Season 2 was a Hit or a Miss? find out here -  https://t.co/6ZMHh7GLZS  Congrats to the team @rajndk @BajpayeeManoj @Samanthaprabhu2 #TheFamilyManSeason2 #Familyman2 #TheFamilyMan2Review #TheFamilyManSeason2Review  https://t.co/MtD08JU5MT,en,Films and OTT,OTTCensorship
101,it,[],Manufacturing,Steel Manufacturing
102,@Nithishmsdian Ipl,und,Sports,Indian Premier League (IPL)
103,Dapat exam ni. Kita try jela. Dapat tak dapat tu belakang cerita  https://t.co/YhxMszXPaA,in,Education,Exams
104,The Machli - Tigress Queen of Ranthambore National Park. Watch the documentary!,en,Wildlife and Vegetation,Ranthambore National Park
105, https://t.co/JfjzFrHZul  Best Travel Blog of Asia: My visit  To Ranthambore National Park  https://t.co/Ur1lbjq7JE,en,Wildlife and Vegetation,Ranthambore National Park
106,"Assam Floods | Kaziranga National Park, Tiger Reserve Report 132 Animal Deaths #AssamFloods #kaziranganationalpark  https://t.co/koGMnMrIyW",en,Wildlife and Vegetation,Kaziranga National Park
107,Corbett Heaven Resort at Corbett National Park #Uttarakhand  http://t.co/YPwPHI8Qpm @Corbett,en,Wildlife and Vegetation,Corbett National Park
108,"#SilverSqueeze #WallStreetSilver $Silver #Silver #PaperSilver $BTC $SLV $PSLV, $SILJ #WSB",lv,R&D and Technology,ISRO
109,@sudhajaan01 @legend9983 @Gopikrish7747 @Cherryprabhas5 Sarey ra babu Prabhas  ki CINEMAA 2010 - DARLING Nandi award - 2013 - Mirchi SIIMA - 2018 - BB2 ee awards vachayi.👍 dheeniki asalu value ledhu maa fans opinion,hi,Films and OTT,mirchi_awards
110, https://t.co/7Uoya4eFgP  #diwali #india #happydiwali #love #festival #photography #festive #bhfyp #diwalidecor #handmade #fashion #wedding #homedecor #cleanindia #india #swachhbharat #follow #mycleanindia #ecofriendly #greenindia #cleanindiamission #recycle #clean #photooftheday,und,ENVIRONMENT,Eco Friendly
111,@PrimeVideoIN @VenkyMama @KarthikRathnam3 @SureshProdns @theVcreations No,und,Films and OTT,"OTT platforms such as Netflix, Amazon Prime Video, etc"
112,@zomato It is never 'crispy' when you deliver.,en,Economics and Retail,Initial Public Offering (IPO)
113,"#Breaking मेरठ- @BhimArmy प्रमुख चंद्रशेखर पर हुआ मुकदमा दर्ज, आचार संहिता के उल्लंघन करने पर  परतापुर थाने में दर्ज हुआ मुकदमा, बिना अनुमति बैठक करने का आरोप। @meerutpolice @igrangemeerut @BhimArmyChief @Tiwari_Iit @chunav",hi,Education,IIT
114,Motorbeamcom  Indian Car Bike News  Car Bike Reviews  Maruti Suzuki  Tata  Fiat  Toyota  Skoda  Volkswagen  Bajaj  TVS  Hero Honda  Y...,in,Manufacturing,Automobile Manufacturing
115,"@AngelNDevil2 @oijae05wncKMiSv I'm still in touch with my Indian pals, over Viber. Good IT guys, simply brilliant DCS specialists. One of them brought me Nokia Lumia made in India in 2016. Windowsphone, I'm still using it :)",en,Films and OTT,OTT Voicecalling
116,"hari ini lanjut pkl, rest belajar utbk shshsh kenapa mau fokus belajar aja susah ya ga bisa bagian waktu",in,Sports,Pro Kabaddi League (PKL)
117,#Tourism #India is a land of #history #culture #festivities #mediation #adventurous #wildlife #beaches & more at  http://indiatourism.net.in,en,Wildlife and Vegetation,Wildlife Tourism and Heritage
118,"Large mammals need protected areas, forest cover in India: A study of extinction patterns of 25 large mammal spec...  http://bit.ly/bYZDPR",en,Wildlife and Vegetation,Forest Cover
119,@rocks_pokharel भूकम्पलाई ओपन च्यालेंज गर्नु पर्छ अब...कि त भूकम्प छैन कि म !!,ne,Natural Disaster,Earthquake
120,@KeralaBlasters @MangteC Admin Today Signing?,en,Sports,Indian Super League (ISL)
121,@zomato Orange,in,Economics and Retail,Initial Public Offering (IPO)
122,"Justice Potlapalli Keshava Rao, sitting judge of Telangana High Court, has passed away in the early hours of Monday. JusticeKeshavaRao https://t.co/lPMyoX6rwP",en,Journalism & Media,Print Media & TV
123,Windows and Silhouettes - Fort Kochi is full of opportunities.   #kerala #fortkochi #kochimuzirisbiennale #kmb2018 #windows #silhouette #kochibiennale  #aspinwall #aspinwallhouse…  https://t.co/0vd1h5TemU,en,Art and Literature,Art festivals
124,"• નાગરિકતા સુધારણા કાયદાથી પાકિસ્તાન, બાંગ્લાદેશ અને અફઘાનિસ્તાનમાં ધાર્મિક ઉત્પીડનનો શિકાર બનેલા અલ્પસંખ્યકોના હિતોનું રક્ષણ થશે   • આ બિલ ભારતના બંધારણમાં સમાવિષ્ટ કોઈ પણ જોગવાઈનું ઉલ્લંઘન કરતું નથી  #IndiaSupportsCAA  https://t.co/UtryKNrL0O",gu,Wildlife and Vegetation,Wildlife Crime
125,@sahilypatel Indian startup ecosystem differs a lot.  I had relied on learnings from YC &amp; A16Z. Led to a lot of early mistakes.  Watch @MatrixPartners moments or interview from Indian VCs &amp; entrepreneurs while building in India.,en,Economics and Retail,Unicorns
126,@Ramniwaskukna @ashokgehlot51 @DeependerSHooda @LambaAlka @nsui @guptar @Neerajkundan @_gurjotsandhu @anushesh_sharma @Nagesh_nsui6 NSUI fir se bda aandolan kre   help kro rajasthan students ki  NSUI OPEN BOOK EXAM KRAO GEHLOT SARKAR,nl,Education,Exams
127,"Amazing 2 days with the power couple, my good friends - Hon. MP Dr. Binod &amp; Sarika Chaudhary (Billionaire of Nepal) attending wedding events &amp; the renown Jaipur Literature Festival. I #Jaipur #wedding #literature #festival #TravelingPrincess #BinodChaudha… https://t.co/2varyphZQ6",en,Art and Literature,Book Fairs
128,"३० अगस्त २०२० के दिन  प्रकृति वंदन करके पर्यावरण,वन, एवं जीव सृष्टि का संरक्षण करने का संकल्प करे | #प्रकृति_वंदन #PrakrutiVandan #प्रकृति_पूजक_खरगोन 10 om",hi,Wildlife and Vegetation,all_conservation
129,Our Marathi Show on @MXPlayer produced by Mirchi Originals was a hit at this year’s 3rd Edition of SPOTT Awards. Congratulations to Team Mirchi Originals for creating yet another milestone in Mirchi’s digital journey. We're ecstatic to have bagged this award in the OTT space.  https://t.co/dwVhsDKy0Q,en,Films and OTT,mirchi_awards
130,"What is the value of best network #Airtel ,if we unable to use at the needy time. Yash cyclone is passing through Mayurbhanj , but i can't get upadate from yesterday because of very poor network of airtel although a tower is very near to me.  @airtelindia @Airtel_Presence  https://t.co/Au030hUgcU",en,Natural Disaster,Cyclone
131,"@SriSri @ArtofLiving Truly unbelievable!👍 Where not even a drop existed, @ArtofLiving's River Rejuvenation Projects have brought #water back to over 35 Rivers across multiple states in #India benefitting millions! Future generations will be forever grateful for sure @SriSri! 🙌😇 @UN_Water @EPA",en,Wildlife and Vegetation,River Rejuvenation
132,"Aunty looks so proud. Ugh.  Apart from the appalling issues with that headline tweeted by a national 'tier I' news channel, let's not forget - let's not forget, these are the same people who if Neeraj Chopra dates &amp; does not play well, will run behind with pitchforks.  Shame.",en,Sports,Olympics
133,@rashtrapatibhvn  #supremecourtofindia  @INCIndia  @barandbench  Kindly don't allow Modi Govt to continue any longer. Step In and Act. #PegasusSnoopgate,en,Politics,Pegasus Snooping
134,@GadhaMazdoori @sidharth_shukla @ishehnaaz_gill Jaise mirchi awards ke time diye the,hi,Films and OTT,mirchi_awards
135,"@avocadoesj @convomf Loh kita deketan, aku 10😭",in,Sports,Pro Kabaddi League (PKL)
136,"आज वन, पर्यावरण एवं जलवायु परिवर्तन विभाग जनपद- मेरठ द्वारा आयोजित #वन_महोत्सव के कार्यक्रम में भाग लिया तथा चौधरी चरण सिंह विश्वविद्यालय के प्रांगण में वृक्षारोपण किया l  #MPRajendraAgarwal #Meerut #Hapur  https://t.co/YWcvmf5Rpw",hi,Wildlife and Vegetation,climate change(wildlife)
137,@PrimeVideoIN #Beast mode 💥,fr,Films and OTT,"OTT platforms such as Netflix, Amazon Prime Video, etc"
138,"While Chinese investors may grow hostile towards the Indian startup ecosystem as their own apps have been forced out, their gap may well be filled by alternate investments from other countries and developing its own investor culture, says @soumyabh_swears:  https://t.co/oPoY66HOEd",en,Economics and Retail,Unicorns
