,index,tweet,language,is_language_tag_correct,correct_language,topic_name,sub_topic
31,31,New margin rules are not in favour of retail... I request @FinMinIndia @nsitharaman to bring back the margin immediately!! #sebibringbackmargin #SEBIAgainstRetailers #SEBIrestore4Xmargin #PeakMarginwapaslo  @SEBI_India @PMOIndia @NSEIndia,en,True,en,Economics and Retail,SEBI and New margin rules
32,32,"Asiatic Lion population in Gir national park has increased by 29% in the past five years — from 523 in 2015 to 674 in 2020, the Gujarat forest department suggested   (report by @JaykishanHT and @jayashreenandi)    https://t.co/6fTaUC7BnH",en,True,en,Wildlife and Vegetation,Gir National Park
33,33,Allot mines Do not privatize  Save vizagsteel   #VisakhaUkkuAndhrulaHakku,en,True,en,Manufacturing,Steel Manufacturing
34,34,"@PRSundar64 You giving so much gyan, why you not utter a single word against #SEBI for cutting trade margin? Small trader cannot do option selling due to the new rule. You do option selling , so it's in your favor. So sir you keep your mouth shut. My #ROI is 50-60% annually  @Sanju_Lakshya",en,True,en,Economics and Retail,SEBI and New margin rules
35,35,"હાથી લેવો હોય, તો હરરાજીમાં ઊભા રહો.... #NationalNews #India #Elephant #Auction #NamibiaForestryEnvironmentandTourism  https://t.co/KROEH05fTo",gu,False,en-gu,Wildlife and Vegetation,Save Elephants
36,36,"I am just waiting when Anushka comes under the radar, once that happens flood gates in India Cricket world will open up &amp; its link with Clifton road will establish  It is just matter of time",en,True,en,ENVIRONMENT,Floods
37,37,Allot mines Do not privatize  Save vizagsteel   #VisakhaUkkuAndhrulaHakku,en,True,en,Manufacturing,Steel Manufacturing
38,38,@Shakti_sk2 @AshokOffl7 Oru small doubt...  Vijay sir and SK ANNA coat suit oda ukkara oru fanmade post irukume...  Antha photo reference : Master audio launch (Vijay sir)  Mirchi Music Awards (SK ANNA)   Atha edit pannathi yaaru???,en,False,in-en,Films and OTT,mirchi_awards
39,39,Allot mines Do not privatize  Save vizagsteel   #VisakhaUkkuAndhrulaHakku,en,True,en,Manufacturing,Steel Manufacturing
40,40,.@ndtv You also forgot to tell viewers that NTCA was kept in dark about shifting Ustad from Ranthambore National Park. #FreeT24,en,True,en,Wildlife and Vegetation,Ranthambore National Park
41,41,"#Visit #Corbett #national park, #Summer #vacation #destination near delhi, Book your trip @ 12,000/- 2 Nights/ 3 Days  http://goo.gl/5sz76",en,True,en,Wildlife and Vegetation,Corbett National Park
42,42,Allot mines Do not privatize  Save vizagsteel   #VisakhaUkkuAndhrulaHakku,en,True,en,Manufacturing,Steel Manufacturing
43,43,@Thunderballs7 @KjetillStjerne @CEOAdam Have you been following the new rules put out by the financial regulatory agencies over the last few months? Today DTC-2021-005 was filed. It will eliminate naked shorting. Later this month automated margin calls. They are preparing for the squeeze.,en,True,en,Economics and Retail,SEBI and New margin rules
44,44,"#Visit #Corbett #national park, #Summer #vacation #destination near delhi, Book your trip @ 12,000/- 2 Nights/ 3 Days  http://goo.gl/5sz76",en,True,en,Wildlife and Vegetation,Corbett National Park
45,45,"None of the schemes,we could Avail for our startup’s and Msme category companies. If this is the case with every Indian entrepreneur then the money spent on the press release of the info through various medium is in vain,atleast that money could hv helped few entrepreneurs.",en,True,en,Economics and Retail,Unicorns
46,46,"#PhotoShootSarkar On 14th February, when India was mourning the Pulwama terror attack, PM Modi was shooting for a film in Corbett National Park for his own his propaganda and publicity.",en,True,en,Wildlife and Vegetation,Corbett National Park
47,47,Staying in a toxic relationship or marriage for the kids is both selfish and unkind. It causes more trauma and gives a bad example of what healthy relationships look like.  #relationshiprecoverystrategist #Mindfulness #DoBetter,en,True,en,Films and OTT,StarKids
48,48,@CryptoHardRock Hedgefunds will drain the whole shabam. 30k....25k.....20k....15k....10k... and we are back at 6k.  New rule effective by tomorow.... DTCC.....002.  Automated margin calls within one hour.... All institutions need collateral to cover their #shortpositions.  #AMC #GME,en,True,en,Economics and Retail,SEBI and New margin rules
49,49,"Uttar Pradesh is  - Worst State in India on Health Index - Worst State in Air Pollution - Worst State in Law &amp; Order - Worst State on Education Quality Index  So, Yogi Adityanath did a new Masterstroke.   Agra Mughal Museum has been renamed to Chhatrapati Shivaji Maharaj Museum.",en,True,en,ENVIRONMENT,Pollution
50,50,Daily Crunch Indian food delivery startup Zomato will seek postIPO valuation up  null  https://t.co/N64xEXn5g1 #DTHSTR,en,True,en,Economics and Retail,Unicorns
51,51,"@Nishant07962318 @SudarshanEMA Not sure which era Reliance Power belongs to but, per @economictimes , 13 out of 16 companies with large IPOs that enjoyed huge IPO Pop à la Zomato in the last 3-5 years have delivered alpha. As long as Liquidity, FDI &amp; its growth don't fall, Zomato should be one more like them.  https://t.co/un8au0ncGs",en,True,en,FOOD,Online food delivery
52,52,"प्रदेश में सरकार लगातार वन्य जीवों पर बढ़ रहे आपराध को रोकने में नाकामयाब रही है मंत्री जी ख़ुद @MlaSanchore  ख़ुद ऐसे समाज से आते है जो वन्य जीवो के लिए जान दे देता है,आख़िर कब तक इनके इशारों पर चलोगे मंत्री जी #मजबूत_कानून_बनाओं_वन्यजीव_बचाओ",hi,True,hi,Wildlife and Vegetation,Wildlife Crime
53,53,"Make in India Vision Gets Major Push: Samsung, Sony To Start Manufacturing in India  http://t.co/WtBa6ROUpB",en,True,en,Manufacturing,Electronics and electrical manufacturing
54,54,Nilgiri Mountain Railway in southern India  https://t.co/XR5KAq0BZI,en,True,en,Wildlife and Vegetation,Nilgiri National Park
55,55,RT LAURA__WALLS: Corbett National Park Nanital #landscape #photo #image #photography #nature #travel #art #beinspired #sky #sunrise… …,en,True,en,Wildlife and Vegetation,Corbett National Park
56,56,"#50YearsOfMammoottysm .@mammukka has won three National Film Awards for Best Actor, seven Kerala State Film Awards and thirteen Filmfare Awards South. In 1998, the Government of India awarded him the Padma Shri for his contributions to the arts.  #50YearsOfMammoottysm  https://t.co/krtBDehjXo",en,True,en,Films and OTT,NationalFilmAwards
57,57,@NetflixIndia Is this actually good? I am looking for new series,en,True,en,Films and OTT,"OTT platforms such as Netflix, Amazon Prime Video, etc"
58,58,The Centre has announced financial support to Indian startups and companies for developing new technologies and innovative products that can enable the country to fight the #Covid19 crisis. @richa_TNIE   https://t.co/kCCSTpitJK,en,True,en,Economics and Retail,Unicorns
59,59,"CYSS is organizing a talk on Psycho-social implications of online education in the times of Pandemic with Dr Virendra Pratap Yadav (Assistant Professor, Department of Applied Psychology, SPM College, University of Delhi).  Sept 03, 2020 4:00 to 5:00 PM  https://t.co/QGKadAXrHC",en,True,en,Education,Online Education
60,60,"#sharePledge #nse #bse #trading #stocks #stockmarket #SharesPledging #VISESHINFO - Disclosure In Terms Of Regulation 7(2) Read With Regulation 6(2) Of SEBI (Prohibition Of Insider Trading) Regulations, 2015 We are in receipt of the disclosure in terms of .. https://t.co/Pd0gUpMEKy",en,True,en,Economics and Retail,SEBI and New margin rules
61,61,IIT-Kanpur Adopts Villages Under Namami Gange: IIT-Kanpur has adopted five villages under the Namami Gange programme and will use its...,de,False,en,Wildlife and Vegetation,River Rejuvenation
62,62,"#Visit #Corbett #national park, #Summer #vacation #destination near delhi, Book your trip @ 12,000/- 2 Nights/ 3 Days  http://goo.gl/5sz76",en,True,en,Wildlife and Vegetation,Corbett National Park
63,63,"#Visit #Corbett #national park, #Summer #vacation #destination near delhi, Book your trip @ 12,000/- 2 Nights/ 3 Days  http://goo.gl/5sz76",en,True,en,Wildlife and Vegetation,Corbett National Park
64,64,@ICICI_Direct hello! why no complain from your side about new margin rules by sebi ! whats the the point in asking people to open demat acnts if you all dont even care about what  most retail traders actually want,en,True,en,Economics and Retail,SEBI and New margin rules
65,65,"If you are traveling to Ranthambore and have planned to go jungle safari, certainly you must be aware about Ranthambore safari timings and climate.   Learn about Safari timing in Ranthambore National Park 👇   https://t.co/jxdTNSthsU  #safaritiming #wildlifesafaritiming",en,True,en,Wildlife and Vegetation,Ranthambore National Park
66,66,"#Visit #Corbett #national park, #Summer #vacation #destination near delhi, Book your trip @ 12,000/- 2 Nights/ 3 Days  http://goo.gl/5sz76",en,True,en,Wildlife and Vegetation,Corbett National Park
67,67,.@ndtv You also forgot to tell viewers that NTCA was kept in dark about shifting Ustad from Ranthambore National Park. #FreeT24,en,True,en,Wildlife and Vegetation,Ranthambore National Park
68,68,"Lot of discussions around the Zomato IPO, but irrespective of low GMP, loss-making business at the moment, we must acknowledge that today is a huge day for Indian Startups.  #ZomatoIPO",en,True,en,Economics and Retail,Unicorns
69,69,@rsprasad #PegasusSnoopgate के जरिये मोदीसरकार  देश की बहुबेटीयों को निकर ओर ब्रा में देखकर संतुष्ट प्राप्त करना चाहती है..?,hi,True,hi,Politics,Pegasus Snooping
70,70,Indian Startup scene is the only positive thing about our economy now.,en,True,en,Economics and Retail,Unicorns
71,71,Lol....hearing live....Neeraj Chopra se bhi jyada lamba fekte hai.....,hi,False,en-hi,Sports,Olympics
72,72,"@Sarvjeet29 @ShoonyaApp Hi Team, I am loving your free platform. When we can expect basket orders features in android app? This is now must have feature due to new sebi margin rules. Awaiting eagerly for this update...",en,True,en,Economics and Retail,SEBI and New margin rules
73,73,"@chloegeogh That's me in the middle,with some of my grand kids yesterday... birthday party,they did me up as a star wars figure.,🙂  https://t.co/ZXLE6LQLWe",en,True,en,Films and OTT,StarKids
74,74,@RahulGandhi  sir sebi new peak margin rule is agaist the small traders and it has brought by sebi to benifit big players no market in world has such a rule huge curruption is behind this rule as oposition leader we urge you to rise voice agaist this rule #SEBIbringMarginBack,en,True,en,Economics and Retail,SEBI and New margin rules
75,75,We retailers do not have a voice in Stock markets. Only Institutions have it. SEBI take back new margin rule. #SEBIAgainstRetailers,en,True,en,Economics and Retail,SEBI and New margin rules
76,76,"Women Scientists Who Helped India Reach-Mars Orbiter Mission (MOM) was India’s first interplanetary mission known as Mangalyaan, they made India the first nation to reach Mars on its first attempt Seetha Somasundaram, Nandini Harinath,Minal Rohit #ISROMissions  #womenempowerment  https://t.co/ubDLQn1U9c",en,True,en,R&D and Technology,ISRO
77,77,"frustrated and saddened with an unbearable pain of my mentality when i decided to have your connection, will recommend everyone to take 2g connection but not airtel 5g",en,True,en,R&D and Technology,Mobile Technology
78,78,"Uttar Pradesh is  - Worst State in India on Health Index - Worst State in Air Pollution - Worst State in Law &amp; Order - Worst State on Education Quality Index  So, Yogi Adityanath did a new Masterstroke.   Agra Mughal Museum has been renamed to Chhatrapati Shivaji Maharaj Museum.",en,True,en,ENVIRONMENT,Pollution
79,79,"@PRSundar64 Seeing this tweet makes me laugh and also a bit angry, you supported stricter margins,new sebi rules. Sad",en,True,en,Economics and Retail,SEBI and New margin rules
80,80,@hashhotrebz @tikirimaarie Ada book fair apu?,in,True,in,Art and Literature,Book Fairs
81,81,"@chitraaum @manojsinha_ Hlo Dalalan Chitra ji har roj #FarmerProtest pe lakho tweet hote hai kabhi uski baat ki, or to aur #Justiceforssr pe bhi uspe kabhi boli,   Aaj lakho tweet #JusticeForDelhiCanttGirl pe hua uspe to kuch nhi boli ye 200 rupay extra kamane ke lie propaganda chalu kr di Modi ki gullu",hi,True,hi,Politics,Farmer Agitation
82,82,@shinebloom_star 伊勢海老の裏側初めて見た👀,ja,True,ja,Films and OTT,StarKids
83,83,En India: Nilgiri Hills 0oty a 2240 mt.  La gente aqui es mas amable piden sacarse fotos con nosotras. Sera que las monas somos nosotras?,es,True,es,Wildlife and Vegetation,Nilgiri National Park
84,84,"प्रदेश में सरकार लगातार वन्य जीवों पर बढ़ रहे आपराध को रोकने में नाकामयाब रही है मंत्री जी ख़ुद @MlaSanchore  ख़ुद ऐसे समाज से आते है जो वन्य जीवो के लिए जान दे देता है,आख़िर कब तक इनके इशारों पर चलोगे मंत्री जी #मजबूत_कानून_बनाओं_वन्यजीव_बचाओ",hi,True,hi,Wildlife and Vegetation,Wildlife Crime
85,85,School open kro..Padhai nhi ho rhi h..Ghr pr..Online class se...Kisi ke pass na ho..Phone..Na hol suvidha toh..Vo fees bhi bhare..Or fail bhi..Ho or dobara kre...School open krao... Plzz,tl,False,hi,Education,Online Education
86,86,@zomato vegetarian logo ko nonveg food bhej dena 𝙞𝙨 𝙣𝙤𝙩 𝙛𝙪𝙣𝙣𝙮,en,False,hi,Economics and Retail,Initial Public Offering (IPO)
87,87,@ShreeSaanthosh @Sahil_delinitor @VaibhavSisinty Dono cases me 💯 luck chahiye warna startup bhi fail hoga aur naukari chokri dono nhi milegi,hi,True,hi,Economics and Retail,Unicorns
88,88,मुंगेर बाढ़ प्रभावित क्षेत्र हेमजापुर पंचायत के सुंदरपुर गांव के युवाओं ने छाती भर पानी में खड़े होकर किया झंडोतोलन।   #Flood #munger #MungerToday  #Afghanishtan #SantRampalJiMaharaj  #Rahane #independenceday #15August #Hemjapur #IndianIdolGreatestFinaleEver #BharatKiShaanSushant  https://t.co/JhdoSID5HL,hi,True,hi,Natural Disaster,Flood
89,89,Un tigre s'en prend à un éléphant au Bandhavgarh National Park: Un tigre s'en prend à un…  https://t.co/26bwpyLRa1,fr,True,fr,Wildlife and Vegetation,Bandhavgarh National Park
90,90,दिल्ली : IIT फ्लाईओवर के पास सड़क का हिस्सा धंसा  https://t.co/Ruyb2oR0i3,hi,True,hi,Education,IIT
91,91,"Se-engganya ga bau dulu aja Kalo gendut, jerawatan, item, bantet itu cuma ngeganggu pandangan Kalo dah bau badan itu ngeganggu suasana. Bau itu gabisa dihindari",in,True,in,Manufacturing,Make in India
92,92,"प्रदेश में सरकार लगातार वन्य जीवों पर बढ़ रहे आपराध को रोकने में नाकामयाब रही है मंत्री जी ख़ुद @MlaSanchore  ख़ुद ऐसे समाज से आते है जो वन्य जीवो के लिए जान दे देता है,आख़िर कब तक इनके इशारों पर चलोगे मंत्री जी #मजबूत_कानून_बनाओं_वन्यजीव_बचाओ",hi,True,hi,Wildlife and Vegetation,Wildlife Crime
93,93,"SEBI ke new margin rule ne RETAIL TRADER ko destroy kar dala .....that's it  Resulting a famous quote....  ""Ab Raja ka beta hi raja banega""  Thank you GOI",in,False,hi,Economics and Retail,SEBI and New margin rules
94,94,"उजड़ गए हज़ारो एक लोते आशियाने गरीबो के, और अमीर केह रहे क्या तो खूबसूरत मौसम है...😅  #Baarish #Cyclone #Mumbai 🌪",hi,True,hi,Natural Disaster,Cyclone
95,95,@jjkbtsofficial ntaran dlu pli ini di rmh gue lg mau ada acara😭,in,True,in,Manufacturing,Make in India
96,96,Ohb bhai zomato ab to reply karo bhai 1 hour ho gya message kiye order ke relatedabhi bhi response nahi mila @zomatocare @zomato,hi,True,hi,FOOD,Online food delivery
97,97,"Kochi-Muziris Biennale 2018. Conoce el mayor evento de arte contemporáneo de la India en mi próximo viaje. La Bienal estará abierta hasta 29/03/19 con actividades, talleres y exposiciones de artistas nacionales e internacionales.  https://t.co/n3Qv4iA82Z  https://t.co/eXyjbeQ0OE",es,True,es,Art and Literature,Art festivals
98,98,@stfuforgodsake Ab zomato pe ye sab bhi start hogya hai 😂,hi,True,hi,FOOD,Online food delivery
99,99,"मेनका गांधी को,   आपने यह क्यों कहा कि मलप्पुरम भारत का सबसे हिंसक जिला है, जहाँ वन्यजीवों का उत्पीड़न किया जा रहा है?  आपने किस आधार पर केरल में स्थिति खराब होने की बात कही है?   कभी ""वन्यजीव अपराध नियंत्रण ब्यूरो"" के बारे में सुना है?   यह पर्यावरण और वन मंत्रालय के अधीन है।",hi,True,hi,Wildlife and Vegetation,Wildlife Crime
